"Cohort","0","1","2","3","4","5","6","7","8","9","10","11"
"Jan Cohorts",941,385,414,385,398,369,365,374,395,414,460,92
"Feb Cohorts",569,151,154,182,138,156,173,185,181,186,29,0
"Mar Cohorts",588,119,154,138,121,123,151,173,148,31,0,0
"Apr Cohorts",391,113,74,91,77,100,100,108,16,0,0,0
"May Cohorts",357,66,58,71,86,79,100,9,0,0,0,0
"Jun Cohorts",293,51,54,72,80,83,9,0,0,0,0,0
"Jul Cohorts",250,45,53,62,65,4,0,0,0,0,0,0
"Aug Cohorts",204,47,62,47,5,0,0,0,0,0,0,0
"Sep Cohorts",367,106,96,7,0,0,0,0,0,0,0,0
"Oct Cohorts",428,94,9,0,0,0,0,0,0,0,0,0
"Nov Cohorts",395,13,0,0,0,0,0,0,0,0,0,0
"Dec Cohorts",47,0,0,0,0,0,0,0,0,0,0,0
