"Cohort","0","1","2","3","4","5","6","7","8","9","10","11"
"Jan Cohorts",941,0.5909,0.56,0.5909,0.577,0.6079,0.6121,0.6026,0.5802,0.56,0.5112,0.9022
"Feb Cohorts",569,0.7346,0.7293,0.6801,0.7575,0.7258,0.696,0.6749,0.6819,0.6731,0.949,0
"Mar Cohorts",588,0.7976,0.7381,0.7653,0.7942,0.7908,0.7432,0.7058,0.7483,0.9473,0,0
"Apr Cohorts",391,0.711,0.8107,0.7673,0.8031,0.7442,0.7442,0.7238,0.9591,0,0,0
"May Cohorts",357,0.8151,0.8375,0.8011,0.7591,0.7787,0.7199,0.9748,0,0,0,0
"Jun Cohorts",293,0.8259,0.8157,0.7543,0.727,0.7167,0.9693,0,0,0,0,0
"Jul Cohorts",250,0.82,0.788,0.752,0.74,0.984,0,0,0,0,0,0
"Aug Cohorts",204,0.7696,0.6961,0.7696,0.9755,0,0,0,0,0,0,0
"Sep Cohorts",367,0.7112,0.7384,0.9809,0,0,0,0,0,0,0,0
"Oct Cohorts",428,0.7804,0.979,0,0,0,0,0,0,0,0,0
"Nov Cohorts",395,0.9671,0,0,0,0,0,0,0,0,0,0
"Dec Cohorts",47,0,0,0,0,0,0,0,0,0,0,0
NA,402.5,0.7749,0.7693,0.7624,0.7667,0.764,0.7474,0.7364,0.7424,0.7268,0.7301,0.9022
