"Cohort","0","1","2","3","4","5","6","7","8","9","10","11"
"Jan Cohorts",726643.99,281314.49,298474.95,314262.14,296329.45,298839.97,330193.2,349157.63,418427.261,426475.8,470232.02,82710.12
"Feb Cohorts",237249.14,83002.19,67203.19,96511.57,118270.6,98661.32,107220.13,168456.46,166094.3,127979.87,26206.42,0
"Mar Cohorts",246835.79,45621.15,66666.27,57227.9,51434.81,65905.08,70273.41,98760.18,68529.03,8124.94,0,0
"Apr Cohorts",155263.691,43879.73,27496.43,30857.62,28932.75,41612.32,46651.05,55701.32,6755.71,0,0,0
"May Cohorts",149771.2,21716.05,22607.6,23175.33,35140.44,31666.96,377876.43,3036.53,0,0,0,0
"Jun Cohorts",189878.59,15854.43,16647.68,34218.62,32214.25,39513.34,2921.74,0,0,0,0,0
"Jul Cohorts",102469.041,15633.43,28829.24,22647.25,20256.31,1073.63,0,0,0,0,0,0
"Aug Cohorts",99542.7,31327.46,51842.51,31037.64,1543.33,0,0,0,0,0,0,0
"Sep Cohorts",180663.221,36728.51,35418.32,4094.54,0,0,0,0,0,0,0,0
"Oct Cohorts",213538.23,33309.4,2113.31,0,0,0,0,0,0,0,0,0
"Nov Cohorts",159596.6,5022.84,0,0,0,0,0,0,0,0,0,0
"Dec Cohorts",28053.67,0,0,0,0,0,0,0,0,0,0,0
